
Blünken, blyoon-ken, 見つめる, 動詞|観察  
Bauchspeichstuc, bauch-shpaich-stuc, 膵臓, 名詞|臓器  
Gallenstuc, gal-len-stuc, 胆のう, 名詞|臓器  

Hautstuc, haut-stuc, 皮膚, 名詞|臓器  
Gebärmstuc, ge-baerm-stuc, 子宮, 名詞|臓器  
Hodstuc, hod-stuc, 睾丸, 名詞|臓器  
Eierstuc, ei-er-stuc, 卵巣, 名詞|臓器  
Zwerchfellstuc, tsverch-fell-stuc, 横隔膜, 名詞|臓器  
Lungenphören, lun-gen-phören, 肺炎, 名詞|病気  
Lebernphören, le-bern-phören, 肝炎, 名詞|病気  
Nierenphören, ni-ren-phören, 腎炎, 名詞|病気  
Därmphören, daerm-phören, 腸炎, 名詞|病気  
Magenphören, ma-gen-phören, 胃炎, 名詞|病気  

Blasenphören, bla-sen-phören, 膀胱炎, 名詞|病気  
Hirnphören, hirn-phören, 脳炎, 名詞|病気  
Milzenphören, mil-tsen-phören, 脾臓炎, 名詞|病気  
Bauchspeichphören, bauch-shpaich-phören, 膵炎, 名詞|病気  
Gallenphören, gal-len-phören, 胆のう炎, 名詞|病気  
